"origin","destination","lane","bookings"
achad,chennai,achad-chennai,1
achad,kolkata,achad-kolkata,2
achampet,bapulapadu,achampet-bapulapadu,1
achampet,challapalli,achampet-challapalli,1
achampet,kolkata,achampet-kolkata,1
achampet,nunna,achampet-nunna,1
achampet,sattenapalle,achampet-sattenapalle,1
achampet,srikakulam,achampet-srikakulam,1
achampet,tirupati,achampet-tirupati,5
achampet,vijayawada,achampet-vijayawada,1
achampet,visakhapatnam,achampet-visakhapatnam,1
addanki,adilabad,addanki-adilabad,3
addanki,adoni,addanki-adoni,1
addanki,allagadda,addanki-allagadda,2
addanki,alluru,addanki-alluru,1
addanki,almaspur,addanki-almaspur,4
addanki,anantapur,addanki-anantapur,6
addanki,angallu,addanki-angallu,1
addanki,aragonda,addanki-aragonda,1
addanki,atmakur,addanki-atmakur,18
addanki,bangalore,addanki-bangalore,22
addanki,bangarupalem,addanki-bangarupalem,1
addanki,belagavi,addanki-belagavi,5
addanki,bengaluru,addanki-bengaluru,11
addanki,betamcherla,addanki-betamcherla,3
addanki,bhadrachalam,addanki-bhadrachalam,2
addanki,bhubaneswar,addanki-bhubaneswar,13
addanki,bhupalpally,addanki-bhupalpally,2
addanki,bidar,addanki-bidar,3
addanki,chennai,addanki-chennai,6
addanki,chilamathur,addanki-chilamathur,1
addanki,chinna_tekur,addanki-chinna_tekur,5
addanki,chowdepalle,addanki-chowdepalle,1
addanki,coimbatore,addanki-coimbatore,13
addanki,dhone,addanki-dhone,1
addanki,eluru,addanki-eluru,2
addanki,ernakulam,addanki-ernakulam,4
addanki,gadwal,addanki-gadwal,1
addanki,gangavaram,addanki-gangavaram,1
addanki,gooty,addanki-gooty,1
addanki,gudur,addanki-gudur,1
addanki,guntur,addanki-guntur,2
addanki,hindupuram,addanki-hindupuram,13
addanki,hosapete,addanki-hosapete,1
addanki,hyderabad,addanki-hyderabad,1
addanki,kadapa,addanki-kadapa,2
addanki,kadiri,addanki-kadiri,2
addanki,kakinada,addanki-kakinada,3
addanki,kakkalapalle_rural,addanki-kakkalapalle_rural,1
addanki,kallur,addanki-kallur,1
addanki,karimnagar,addanki-karimnagar,4
addanki,kavali,addanki-kavali,1
addanki,khammam,addanki-khammam,2
addanki,kochi,addanki-kochi,2
addanki,kodur,addanki-kodur,1
addanki,kolkata,addanki-kolkata,1
addanki,kondareddypalli,addanki-kondareddypalli,1
addanki,kothagudem,addanki-kothagudem,1
addanki,kothakota,addanki-kothakota,1
addanki,krnt,addanki-krnt,1
addanki,kurnool,addanki-kurnool,39
addanki,madurai,addanki-madurai,10
addanki,mancherial,addanki-mancherial,1
addanki,mangapet,addanki-mangapet,1
addanki,mantralayam,addanki-mantralayam,3
addanki,maripeda,addanki-maripeda,1
addanki,metpally,addanki-metpally,12
addanki,mominpet,addanki-mominpet,1
addanki,muddunoor,addanki-muddunoor,6
addanki,mudigubba,addanki-mudigubba,1
addanki,mudivedu,addanki-mudivedu,1
addanki,mulugu,addanki-mulugu,2
addanki,mydukur,addanki-mydukur,1
addanki,nandikotkur,addanki-nandikotkur,1
addanki,nandyal,addanki-nandyal,1
addanki,nizamabad,addanki-nizamabad,1
addanki,noonepalli,addanki-noonepalli,1
addanki,obulavaripalli,addanki-obulavaripalli,1
addanki,ongole,addanki-ongole,6
addanki,pagdiyal,addanki-pagdiyal,1
addanki,pagidyala,addanki-pagidyala,1
addanki,palasa_at_kasibugga,addanki-palasa_at_kasibugga,3
addanki,palasamudram,addanki-palasamudram,1
addanki,panyam,addanki-panyam,1
addanki,patna,addanki-patna,1
addanki,pedda_thandrapadu,addanki-pedda_thandrapadu,1
addanki,pedda_tippa_samudram,addanki-pedda_tippa_samudram,1
addanki,prodattur,addanki-prodattur,3
addanki,pune,addanki-pune,3
addanki,punganur,addanki-punganur,3
addanki,rajahmundry,addanki-rajahmundry,2
addanki,ramagundam,addanki-ramagundam,2
addanki,ramasamudram,addanki-ramasamudram,2
addanki,rapthadu,addanki-rapthadu,1
addanki,rayachoty,addanki-rayachoty,3
addanki,shanthipuram,addanki-shanthipuram,1
addanki,shivarampally_jagir,addanki-shivarampally_jagir,1
addanki,siddipet,addanki-siddipet,1
addanki,simhadripuram,addanki-simhadripuram,1
addanki,somala,addanki-somala,1
addanki,srikalahasti,addanki-srikalahasti,1
addanki,srirampur,addanki-srirampur,1
addanki,tadipatri,addanki-tadipatri,4
addanki,tanuku,addanki-tanuku,1
addanki,thamballapalle,addanki-thamballapalle,1
addanki,thottambedu,addanki-thottambedu,1
addanki,tirupati,addanki-tirupati,1
addanki,tvm,addanki-tvm,2
addanki,ulchala,addanki-ulchala,3
addanki,uravakonda,addanki-uravakonda,2
addanki,varanasi,addanki-varanasi,2
addanki,venkatagirikota,addanki-venkatagirikota,1
addanki,vijayawada,addanki-vijayawada,14
addanki,vikarabad,addanki-vikarabad,2
addanki,visakhapatnam,addanki-visakhapatnam,9
addanki,vizianagaram,addanki-vizianagaram,2
addanki,warangal,addanki-warangal,8
addanki,yemmiganur,addanki-yemmiganur,8
addanki,yerravaripalem,addanki-yerravaripalem,1
adilabad,adilabad,adilabad-adilabad,1
adilabad,anandapur,adilabad-anandapur,1
adilabad,anantapur,adilabad-anantapur,1
adilabad,belagavi,adilabad-belagavi,5
adilabad,bengaluru,adilabad-bengaluru,2
adilabad,bhubaneswar,adilabad-bhubaneswar,2
adilabad,chennai,adilabad-chennai,1
adilabad,coimbatore,adilabad-coimbatore,1
adilabad,ernakulam,adilabad-ernakulam,2
adilabad,hnk,adilabad-hnk,2
adilabad,kadiri,adilabad-kadiri,1
adilabad,kakinada,adilabad-kakinada,1
adilabad,khorda,adilabad-khorda,1
adilabad,kodumur,adilabad-kodumur,1
adilabad,kolkata,adilabad-kolkata,3
adilabad,kurnool,adilabad-kurnool,9
adilabad,metpally,adilabad-metpally,1
adilabad,mpl,adilabad-mpl,1
adilabad,muddunoor,adilabad-muddunoor,1
adilabad,nallacheruvu,adilabad-nallacheruvu,1
adilabad,pattikonda,adilabad-pattikonda,1
adilabad,peapully,adilabad-peapully,1
adilabad,podili,adilabad-podili,1
adilabad,rajampet,adilabad-rajampet,1
adilabad,ramagundam,adilabad-ramagundam,1
adilabad,sangareddy,adilabad-sangareddy,2
adilabad,sathyavedu,adilabad-sathyavedu,1
adilabad,venkatagirikota,adilabad-venkatagirikota,1
adilabad,vijayawada,adilabad-vijayawada,1
adilabad,warangal,adilabad-warangal,1
adilabad,yemmiganur,adilabad-yemmiganur,2
adoni,mancherial,adoni-mancherial,1
adoni,nandyal,adoni-nandyal,8
adoor,bangalore,adoor-bangalore,3
adoor,bengaluru,adoor-bengaluru,5
adoor,cherthala,adoor-cherthala,1
adoor,gudur,adoor-gudur,1
adoor,hosur,adoor-hosur,1
adoor,kadamattam,adoor-kadamattam,2
adoor,kaniyapuram,adoor-kaniyapuram,4
adoor,kannur,adoor-kannur,6
adoor,kattakkada,adoor-kattakkada,4
adoor,kattappana,adoor-kattappana,1
adoor,kattoor,adoor-kattoor,1
adoor,kayamkulam,adoor-kayamkulam,2
adoor,kochi,adoor-kochi,1
adoor,koothattukulam,adoor-koothattukulam,1
adoor,kozhikode,adoor-kozhikode,4
adoor,kuruppampady,adoor-kuruppampady,1
adoor,madurai,adoor-madurai,1
adoor,malappuram,adoor-malappuram,1
adoor,mangaluru,adoor-mangaluru,1
adoor,mysuru,adoor-mysuru,1
adoor,pathanamthitta,adoor-pathanamthitta,2
adoor,pune,adoor-pune,4
adoor,thoothukudi,adoor-thoothukudi,1
adoor,thrissur,adoor-thrissur,5
adoor,visakhapatnam,adoor-visakhapatnam,2
agali,bhubaneswar,agali-bhubaneswar,1
agali,coimbatore,agali-coimbatore,1
agra,gurgaon,agra-gurgaon,1
agra,manchar,agra-manchar,1
ahmedabad,ahmedabad,ahmedabad-ahmedabad,25
ahmedabad,bangalore,ahmedabad-bangalore,1
ahmedabad,bengaluru,ahmedabad-bengaluru,62
ahmedabad,bhiwandi,ahmedabad-bhiwandi,3
ahmedabad,chennai,ahmedabad-chennai,5
ahmedabad,chilamathur,ahmedabad-chilamathur,1
ahmedabad,delhi,ahmedabad-delhi,1
ahmedabad,devanahally,ahmedabad-devanahally,4
ahmedabad,ernakulam,ahmedabad-ernakulam,1
ahmedabad,farukh_nagar,ahmedabad-farukh_nagar,1
ahmedabad,ghaziabad,ahmedabad-ghaziabad,1
ahmedabad,greater_noida,ahmedabad-greater_noida,2
ahmedabad,gurugram,ahmedabad-gurugram,8
ahmedabad,guwahati,ahmedabad-guwahati,4
ahmedabad,hanumangarh,ahmedabad-hanumangarh,1
ahmedabad,hoskote,ahmedabad-hoskote,1
ahmedabad,hosur,ahmedabad-hosur,1
ahmedabad,hyderabad,ahmedabad-hyderabad,10
ahmedabad,jaipur,ahmedabad-jaipur,5
ahmedabad,jalandhar,ahmedabad-jalandhar,1
ahmedabad,jhajjar,ahmedabad-jhajjar,1
ahmedabad,kochi,ahmedabad-kochi,1
ahmedabad,kolkata,ahmedabad-kolkata,10
ahmedabad,kurnool,ahmedabad-kurnool,7
ahmedabad,lucknow,ahmedabad-lucknow,10
